",""P_laser [W]"",""v_scan [mm/s]"",""d_laser [mm]"",""t_powder [um]"",""Weldwidth w_w [um]"",""Penetrationdepth d_w [um]"",""Moltencross-sectionalarea A_m [um]"",""Balling"""
444,100,300,0.08,60,115.6,34.237,6458.575,0
445,200,600,0.05,60,122.6,186.2,19341,1
446,75,750,0.05,0,69,29.8,1685.8,0
447,275,450,0.14,30,206.7,98.3,17560.9,0
448,350,900,0.08,30,150.623,75.659,8229.983,1
449,400,600,0.08,60,185.472,188.666,31937.748,0
450,375,450,0.11,0,232.2,131,24969.4,0
451,200,1500,0.11,0,90.44,30.818,2254.951,0
452,325,750,0.11,0,187.9,74.5,10728.6,0
453,150,600,0.05,60,120.2,125.7,14217.2,1
454,450,450,0.11,60,258.7,171.7,39947.7,0
455,300,1050,0.08,60,120,88.2,12047,0
456,350,900,0.08,60,206.21,28.946,12299.627,1
457,125,1050,0.05,0,131.9,28.3,2348.4,0
458,275,1050,0.08,30,117.3,96.7,9203.4,1
459,250,1200,0.08,30,116.622,33.293,5497.618,1
460,350,1500,0.05,60,108.46,99.987,8914.651,1
461,100,450,0.05,60,99.8,112.3,11224.5,0
462,250,1050,0.08,60,114.6,67.6,7395.7,1
463,325,375,0.11,60,235.4,97.3,25211.6,0
464,400,900,0.14,30,170,66.467,16787.157,1
465,175,975,0.05,60,110.3,83.8,8945.7,0
466,350,900,0.14,30,172.721,49.25,11608.725,1
467,50,600,0.08,0,88.2,18,1085.3,0
468,200,450,0.14,60,194.1,68.6,15383.3,0
469,350,1200,0.14,0,184.281,47.359,5557.513,0
470,300,300,0.08,30,196.5,450,57372.5,0
471,200,1200,0.14,0,146.882,35.121,3280.15,0
472,350,450,0.08,0,220.3,257.8,38915.2,0
473,200,600,0.14,30,207.913,21.545,10201.05,0
474,350,900,0.08,0,159.803,96.716,12158.533,0
475,300,1200,0.05,60,126.48,69.579,11472.537,1
476,150,1200,0.05,30,91.971,38.755,4048.731,0
477,500,750,0.08,60,185.5,221.7,34641.1,0
478,250,300,0.11,60,226.44,85.66,25208.561,0
479,450,600,0.14,30,249.56,73.872,20227.529,1
480,75,450,0.11,30,126.7,22.7,4155.6,0
481,250,600,0.11,60,217.783,25.899,12111.031,0
482,325,525,0.11,60,217.6,105.6,29267.4,0
483,450,300,0.11,30,248.6,540.9,76438.3,0
484,200,900,0.05,0,112.205,96.105,8790.627,0
485,400,375,0.11,60,211.5,284.7,58818.4,0
486,375,750,0.05,0,144,257.3,28085.2,0
487,400,1500,0.05,0,136.17,90.096,7675.736,1
488,75,525,0.05,60,105.4,55.1,5775.9,0
489,200,600,0.05,30,116.5,192.9,17328.1,0
490,350,1200,0.11,0,160.653,62.837,7772.482,1
491,350,300,0.08,0,241.7,397.7,54960.7,0
492,200,600,0.14,30,150.3,42.8,7957.8,0
493,400,900,0.05,30,123.9,226.7,24895.5,1
494,50,600,0.05,30,51.85,12.561,2140.594,0
495,450,600,0.08,0,219,133,22896.8,0
496,175,1050,0.05,0,137.5,39.9,3620.5,0
497,400,1500,0.05,30,144.675,53.408,6416.638,1
498,500,900,0.14,60,195.16,78.859,14796.208,1
499,450,600,0.08,60,217.781,182.715,34921.201,0
500,200,900,0.05,60,125.8,70.296,8495.978,0
501,250,1200,0.08,60,107.951,39.489,3335.88,1
502,450,1200,0.08,0,141.782,106.182,14683.539,1
503,150,450,0.05,60,113.2,170.9,20236.2,0
504,175,725,0.05,60,117.5,126.9,13692.2,0
